,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
144,V170,557,404,276,322,207,353.2
145,V171,473,357,268,270,213,316.2
146,V172,57,64,87,85,80,74.6
147,V173,41,43,53,54,70,52.2
148,V175,128,132,68,101,95,104.8
149,V176,261,199,90,128,69,149.4
150,V177,114,101,48,87,84,86.8
151,V178,307,169,156,164,150,189.2
152,V180,267,132,140,184,108,166.2
153,V182,210,141,144,160,108,152.6
154,V184,235,166,154,162,117,166.8
155,V187,821,549,357,370,445,508.4
156,V188,309,216,163,224,110,204.4
157,V189,354,258,222,299,273,281.2
158,V195,65,77,48,39,27,51.2
159,V197,126,258,148,144,99,155.0
160,V200,373,249,154,229,214,243.8
161,V201,319,300,206,236,188,249.8
162,V202,707,419,266,336,308,407.2
163,V203,1191,879,550,705,533,771.6
164,V204,845,542,346,442,327,500.4
165,V205,438,286,175,302,233,286.8
166,V206,518,255,239,304,235,310.2
167,V207,740,614,349,484,365,510.4
168,V208,989,659,503,442,413,601.2
169,V209,915,673,435,521,492,607.2
170,V210,837,525,372,378,336,489.6
171,V212,662,530,332,375,319,443.6
172,V213,482,324,216,253,224,299.8
173,V214,412,311,228,241,234,285.2
174,V215,712,587,382,473,315,493.8
175,V216,472,386,289,278,298,344.6
176,V217,316,247,160,214,198,227.0
177,V219,426,288,210,213,196,266.6
178,V220,520,369,361,316,185,350.2
179,V221,1421,965,607,659,587,847.8
180,V222,1083,737,415,484,453,634.4
181,V223,151,138,151,107,157,140.8
182,V224,347,289,224,295,242,279.4
183,V225,210,171,118,133,111,148.6
184,V226,359,125,161,185,189,203.8
185,V227,169,136,82,106,121,122.8
186,V228,351,293,121,186,151,220.4
187,V229,719,427,277,355,322,420.0
188,V231,220,143,107,114,133,143.4
189,V233,360,204,115,181,140,200.0
190,V234,553,372,285,302,278,358.0
191,V238,215,166,109,74,120,136.8
192,V239,234,166,116,127,112,151.0
193,V242,187,146,111,85,100,125.8
194,V243,427,338,275,258,259,311.4
195,V244,257,196,104,127,140,164.8
196,V245,631,384,294,340,328,395.4
197,V246,283,157,91,134,94,151.8
198,V247,69,50,52,33,32,47.2
199,V249,134,127,86,59,47,90.6
200,V251,474,399,243,261,321,339.6
201,V253,238,177,120,174,121,166.0
202,V256,467,227,234,306,234,293.6
203,V257,677,380,245,244,237,356.6
204,V258,705,495,430,442,474,509.2
205,V259,660,512,360,383,287,440.4
206,V261,1286,798,509,567,701,772.2
207,V262,769,419,347,353,383,454.2
208,V263,1010,512,332,451,391,539.2
209,V264,2070,1307,732,1013,856,1195.6
210,V265,1307,709,450,591,436,698.6
211,V266,814,558,447,393,591,560.6
212,V267,1359,942,613,609,684,841.4
213,V268,884,616,482,502,360,568.8
214,V270,781,493,393,512,355,506.8
215,V271,773,578,382,515,491,547.8
216,V272,667,449,295,432,344,437.4
217,V273,597,376,249,300,262,356.8
218,V274,1206,709,527,640,544,725.2
